"birth_info","url","player","position","date_of_birth_age","caps","franchise_province","team","club_province","country","lat","long"
"Suva, Fiji","https://en.wikipedia.org/wiki/Emoni_Narawa","Emoni Narawa","Wing","(1999-07-13)13 July 1999 (aged 24)",1,"Chiefs / Bay of Plenty","New Zealand",NA,"Fiji",-18.1415884,178.4421662
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Mark_Telea","Mark Telea","Wing","(1996-12-06)6 December 1996 (aged 26)",5,"Blues / North Harbour","New Zealand",NA,"New Zealand",-36.5412811,174.550610491441
"Christchurch, New Zealand","https://en.wikipedia.org/wiki/Will_Jordan_(rugby_union)","Will Jordan","Fullback","(1998-02-24)24 February 1998 (aged 25)",25,"Crusaders / Tasman","New Zealand",NA,"New Zealand",-43.530955,172.6364343
"Gimont, France","https://en.wikipedia.org/wiki/Pierre_Bourgarit","Pierre Bourgarit","Hooker","(1997-09-12)12 September 1997 (aged 25)",10,NA,"France","La Rochelle","France",43.6273203,0.8776713
"Saint-Gaudens, France","https://en.wikipedia.org/wiki/Julien_Marchand","Julien Marchand","Hooker","(1995-05-10)10 May 1995 (aged 28)",31,NA,"France","Toulouse","France",43.1077682,0.7247218
"Nouméa, New Caledonia","https://en.wikipedia.org/wiki/Peato_Mauvaka","Peato Mauvaka","Hooker","(1997-01-10)10 January 1997 (aged 26)",24,NA,"France","Toulouse","France",-22.2745264,166.442419
"Toulouse, France","https://en.wikipedia.org/wiki/Dorian_Aldegheri","Dorian Aldegheri","Prop","(1993-08-04)4 August 1993 (aged 30)",11,NA,"France","Toulouse","France",43.6044622,1.4442469
"Timaru, New Zealand","https://en.wikipedia.org/wiki/Uini_Atonio","Uini Atonio","Prop","(1990-03-26)26 March 1990 (aged 33)",53,NA,"France","La Rochelle","New Zealand",-44.3930254,171.2509786
"Pau, France","https://en.wikipedia.org/wiki/Cyril_Baille","Cyril Baille","Prop","(1993-09-15)15 September 1993 (aged 29)",44,NA,"France","Toulouse","France",43.2957547,-0.3685668
"Leava, Wallis and Futuna","https://en.wikipedia.org/wiki/Sipili_Falatea","Sipili Falatea","Prop","(1997-06-06)6 June 1997 (aged 26)",13,NA,"France","Bordeaux-Bègles","France",-14.3005702,-178.15617
"Arles, France","https://en.wikipedia.org/wiki/Jean-Baptiste_Gros","Jean-Baptiste Gros","Prop","(1999-05-29)29 May 1999 (aged 24)",25,NA,"France","Toulon","France",43.6776223,4.6309653
"Montpellier, France","https://en.wikipedia.org/wiki/Reda_Wardi","Reda Wardi","Prop","(1995-08-02)2 August 1995 (aged 28)",9,NA,"France","La Rochelle","France",43.6112422,3.8767337
"Mondavezan, France","https://en.wikipedia.org/wiki/Bastien_Chalureau","Bastien Chalureau","Lock","(1992-02-13) 13 February 1992 (age 31)",6,NA,"France","Montpellier","France",43.2400297,1.0377567
"Paris, France","https://en.wikipedia.org/wiki/Thibaud_Flament","Thibaud Flament","Lock","(1997-04-29)29 April 1997 (aged 26)",19,NA,"France","Toulouse","France",48.8588897,2.32004102172008
"Mont-de-Marsan, France","https://en.wikipedia.org/wiki/Romain_Taofifenua","Romain Taofifenua","Lock","(1990-09-14)14 September 1990 (aged 32)",44,NA,"France","Lyon","France",43.8911318,-0.500972
"Pretoria, South Africa","https://en.wikipedia.org/wiki/Paul_Willemse","Paul Willemse","Lock","(1992-11-13)13 November 1992 (aged 30)",31,NA,"France","Montpellier","South Africa",-25.7459277,28.1879101
"Saint-Denis, France","https://en.wikipedia.org/wiki/Cameron_Woki","Cameron Woki","Lock","(1998-11-07)7 November 1998 (aged 24)",22,NA,"France","Racing 92","France",48.935773,2.3580232
"Toulouse, France","https://en.wikipedia.org/wiki/Gr%C3%A9gory_Alldritt","Grégory Alldritt","Back row","(1997-03-23)23 March 1997 (aged 26)",42,NA,"France","La Rochelle","France",43.6044622,1.4442469
"Angers, France","https://en.wikipedia.org/wiki/Paul_Boudehent","Paul Boudehent","Back row","(1999-11-21)21 November 1999 (aged 23)",3,NA,"France","La Rochelle","France",47.4739884,-0.5515588
"Toulouse, France","https://en.wikipedia.org/wiki/Fran%C3%A7ois_Cros","François Cros","Back row","(1994-03-25)25 March 1994 (aged 29)",22,NA,"France","Toulouse","France",43.6044622,1.4442469
"Vic-Fezensac, France","https://en.wikipedia.org/wiki/Anthony_Jelonch","Anthony Jelonch","Back row","(1996-07-28)28 July 1996 (aged 27)",25,NA,"France","Toulouse","France",43.7594444,0.3041667
"Sarcelles, France","https://en.wikipedia.org/wiki/Sekou_Macalou","Sekou Macalou","Back row","(1995-04-20)20 April 1995 (aged 28)",18,NA,"France","Stade Français","France",48.9960813,2.3796245
"Saint-Pée-sur-Nivelle, France","https://en.wikipedia.org/wiki/Charles_Ollivon","Charles Ollivon","Back row","(1993-05-11)11 May 1993 (aged 30)",35,NA,"France","Toulon","France",43.3557594,-1.5504787
"Lyon, France","https://en.wikipedia.org/wiki/Baptiste_Couilloud","Baptiste Couilloud","Scrum-half","(1997-08-22)22 August 1997 (aged 26)",13,NA,"France","Lyon","France",45.7578137,4.8320114
"Lannemezan, France","https://en.wikipedia.org/wiki/Antoine_Dupont","Antoine Dupont (c)","Scrum-half","(1996-11-15)15 November 1996 (aged 26)",49,NA,"France","Toulouse","France",43.1252298,0.384241
"Saint-Jean-de-Luz, France","https://en.wikipedia.org/wiki/Maxime_Lucu","Maxime Lucu","Scrum-half","(1993-01-12)12 January 1993 (aged 30)",15,NA,"France","Bordeaux-Bègles","France",43.3881,-1.6631
"Bayonne, France","https://en.wikipedia.org/wiki/Antoine_Hastoy","Antoine Hastoy","Fly-half","(1997-06-04)4 June 1997 (aged 26)",4,NA,"France","La Rochelle","France",43.4945144,-1.4736657
"Saint-Germain-en-Laye, France","https://en.wikipedia.org/wiki/Matthieu_Jalibert","Matthieu Jalibert","Fly-half","(1998-11-06)6 November 1998 (aged 24)",26,NA,"France","Bordeaux-Bègles","France",48.8990413,2.0942792
"Paris, France","https://en.wikipedia.org/wiki/Jonathan_Danty","Jonathan Danty","Centre","(1992-10-07)7 October 1992 (aged 30)",23,NA,"France","La Rochelle","France",48.8588897,2.32004102172008
"La Seyne-sur-Mer, France","https://en.wikipedia.org/wiki/Ga%C3%ABl_Fickou","Gaël Fickou","Centre","(1994-03-26)26 March 1994 (aged 29)",81,NA,"France","Racing 92","France",43.1007714,5.8788948
"Nouméa, New Caledonia, France","https://en.wikipedia.org/wiki/Yoram_Moefana","Yoram Moefana","Centre","(2000-07-18)18 July 2000 (aged 23)",18,NA,"France","Bordeaux-Bègles","France",-22.2745264,166.442419
"Montpellier, France","https://en.wikipedia.org/wiki/Arthur_Vincent_(rugby_union)","Arthur Vincent","Centre","(1999-09-30)30 September 1999 (aged 23)",16,NA,"France","Montpellier","France",43.6112422,3.8767337
"La Tronche, France","https://en.wikipedia.org/wiki/Louis_Bielle-Biarrey","Louis Bielle-Biarrey","Wing","(2003-06-16)16 June 2003 (aged 20)",3,NA,"France","Bordeaux-Bègles","France",45.2090131,5.745715
"Brive-la-Gaillarde, France","https://en.wikipedia.org/wiki/Damian_Penaud","Damian Penaud","Wing","(1996-09-25)25 September 1996 (aged 26)",44,NA,"France","Bordeaux-Bègles","France",45.1584982,1.5332389
"Vire, France","https://en.wikipedia.org/wiki/Gabin_Villi%C3%A8re","Gabin Villière","Wing","(1995-12-13)13 December 1995 (aged 27)",14,NA,"France","Toulon","France",48.8385198,-0.8893293
"Hyères, France","https://en.wikipedia.org/wiki/Melvyn_Jaminet","Melvyn Jaminet","Fullback","(1999-06-30)30 June 1999 (aged 24)",15,NA,"France","Toulouse","France",43.1202573,6.1301614
"Mazamet, France","https://en.wikipedia.org/wiki/Thomas_Ramos_(rugby_union)","Thomas Ramos","Fullback","(1995-07-23)23 July 1995 (aged 28)",27,NA,"France","Toulouse","France",43.4902317,2.3764363
"Reggio Emilia, Italy","https://en.wikipedia.org/wiki/Luca_Bigi","Luca Bigi","Hooker","(1991-04-19)19 April 1991 (aged 32)",48,NA,"Italy","Zebre Parma","Italy",44.6086674,10.5940666759148
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Hame_Faiva","Hame Faiva","Hooker","(1994-05-09)9 May 1994 (aged 29)",7,NA,"Italy","Unattached","New Zealand",-36.5412811,174.550610491441
"Trieste, Italy","https://en.wikipedia.org/wiki/Giacomo_Nicotera","Giacomo Nicotera","Hooker","(1996-07-15)15 July 1996 (aged 27)",15,NA,"Italy","Benetton","Italy",45.6496485,13.7772781
"Rome, Italy","https://en.wikipedia.org/wiki/Pietro_Ceccarelli","Pietro Ceccarelli","Prop","(1992-02-16)16 February 1992 (aged 31)",29,NA,"Italy","Perpignan","Italy",41.8933203,12.4829321
"Cernusco sul Naviglio, Italy","https://en.wikipedia.org/wiki/Simone_Ferrari_(rugby_union)","Simone Ferrari","Prop","(1994-03-28)28 March 1994 (aged 29)",47,NA,"Italy","Benetton","Italy",45.5245578,9.330925
"Genzano di Roma, Italy","https://en.wikipedia.org/wiki/Danilo_Fischetti","Danilo Fischetti","Prop","(1998-01-26)26 January 1998 (aged 25)",33,NA,"Italy","Zebre Parma","Italy",41.706989,12.6911183
"Mar del Plata, Argentina","https://en.wikipedia.org/wiki/Ivan_Nemer","Ivan Nemer","Prop","(1998-04-22)22 April 1998 (aged 25)",13,NA,"Italy","Benetton","Argentina",-37.9977225,-57.5482703
"Teramo, Italy","https://en.wikipedia.org/wiki/Marco_Riccioni","Marco Riccioni","Prop","(1997-10-19)19 October 1997 (aged 25)",22,NA,"Italy","Saracens","Italy",42.65811795,13.6978745875206
"Parma","https://en.wikipedia.org/wiki/Federico_Zani","Federico Zani","Prop","(1989-04-09)9 April 1989 (aged 34)",23,NA,"Italy","Benetton","Italy",44.8013678,10.3280833
"Florence, Italy","https://en.wikipedia.org/wiki/Niccol%C3%B2_Cannone","Niccolò Cannone","Lock","(1998-05-17)17 May 1998 (aged 25)",33,NA,"Italy","Benetton","Italy",43.7698712,11.2555757
"Warwickshire, England","https://en.wikipedia.org/wiki/Dino_Lamb","Dino Lamb","Lock","(1998-04-18)18 April 1998 (aged 25)",3,NA,"Italy","Harlequins","England",52.32130635,-1.55369055366614
"Padua, Italy","https://en.wikipedia.org/wiki/Federico_Ruzza","Federico Ruzza","Lock","(1994-08-04)4 August 1994 (aged 29)",45,NA,"Italy","Benetton","Italy",45.4077172,11.8734455
"Rinteln, Germany","https://en.wikipedia.org/wiki/Dave_Sisi","Dave Sisi","Lock","(1993-02-05)5 February 1993 (aged 30)",28,NA,"Italy","Zebre Parma","Germany",52.1873798,9.0804584
"Florence, Italy","https://en.wikipedia.org/wiki/Lorenzo_Cannone","Lorenzo Cannone","Back row","(2001-01-28)28 January 2001 (aged 22)",12,NA,"Italy","Benetton","Italy",43.7698712,11.2555757
"Gisborne, New Zealand","https://en.wikipedia.org/wiki/Toa_Halafihi","Toa Halafihi","Back row","(1993-11-27)27 November 1993 (aged 29)",11,NA,"Italy","Benetton","New Zealand",-38.661326,178.0206487
"Rome, Italy","https://en.wikipedia.org/wiki/Michele_Lamaro","Michele Lamaro (c)","Back row","(1998-06-03)3 June 1998 (aged 25)",29,NA,"Italy","Benetton","Italy",41.8933203,12.4829321
"Marondera, Zimbabwe","https://en.wikipedia.org/wiki/Sebastian_Negri","Sebastian Negri","Back row","(1994-06-30)30 June 1994 (aged 29)",48,NA,"Italy","Benetton","Zimbabwe",-18.190098,31.545542
"Venice, Italy","https://en.wikipedia.org/wiki/Giovanni_Pettinelli","Giovanni Pettinelli","Back row","(1996-03-13)13 March 1996 (aged 27)",14,NA,"Italy","Benetton","Italy",45.4371908,12.3345898
"Castelfranco Veneto, Italy","https://en.wikipedia.org/wiki/Manuel_Zuliani","Manuel Zuliani","Back row","(2000-04-26)26 April 2000 (aged 23)",13,NA,"Italy","Benetton","Italy",45.6728109,11.9252448
"Napoli, Italy","https://en.wikipedia.org/wiki/Alessandro_Fusco","Alessandro Fusco","Scrum-half","(1999-10-28)28 October 1999 (aged 23)",15,NA,"Italy","Zebre Parma","Italy",40.8358846,14.2487679
"Venice, Italy","https://en.wikipedia.org/wiki/Alessandro_Garbisi","Alessandro Garbisi","Scrum-half","(2002-04-11)11 April 2002 (aged 21)",6,NA,"Italy","Benetton","Italy",45.4371908,12.3345898
"L'Isle-Jourdain, France","https://en.wikipedia.org/wiki/Martin_Page-Relo","Martin Page-Relo","Scrum-half","(1999-01-06)6 January 1999 (aged 24)",2,NA,"Italy","Lyon","France",43.6144444,1.0816667
"Carmarthen, Wales","https://en.wikipedia.org/wiki/Stephen_Varney","Stephen Varney","Scrum-half","(2001-05-16)16 May 2001 (aged 22)",21,NA,"Italy","Gloucester","Wales",51.8591257,-4.3115907
"Vicenza, Italy","https://en.wikipedia.org/wiki/Tommaso_Allan","Tommaso Allan","Fly-half","(1993-04-26)26 April 1993 (aged 30)",75,NA,"Italy","Perpignan","Italy",45.63485905,11.4063542566025
"Treviso, Italy","https://en.wikipedia.org/wiki/Giacomo_Da_Re","Giacomo Da Re","Fly-half","(1999-03-29)29 March 1999 (aged 24)",2,NA,"Italy","Benetton","Italy",45.80669135,12.2063157631164
"Venice, Italy","https://en.wikipedia.org/wiki/Paolo_Garbisi","Paolo Garbisi","Fly-half","(2000-04-26)26 April 2000 (aged 23)",27,NA,"Italy","Montpellier","Italy",45.4371908,12.3345898
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Ignacio_Brex","Ignacio Brex","Centre","(1992-05-26)26 May 1992 (aged 31)",26,NA,"Italy","Benetton","Argentina",-34.6075682,-58.4370894
"Milan, Italy","https://en.wikipedia.org/wiki/Luca_Morisi","Luca Morisi","Centre","(1991-02-22)22 February 1991 (aged 32)",47,NA,"Italy","Unattached","Italy",45.4641943,9.1896346
"Genoa, Italy","https://en.wikipedia.org/wiki/Pierre_Bruno","Pierre Bruno","Wing","(1996-06-28)28 June 1996 (aged 27)",13,NA,"Italy","Zebre Parma","Italy",44.40726,8.9338624
"Melbourne, Victoria, Australia","https://en.wikipedia.org/wiki/Monty_Ioane","Monty Ioane","Wing","(1994-10-30)30 October 1994 (aged 28)",21,NA,"Italy","Lyon","Australia",-37.8142454,144.9631732
"Coventry, England","https://en.wikipedia.org/wiki/Paolo_Odogwu","Paolo Odogwu","Wing","(1997-06-18)18 June 1997 (aged 26)",3,NA,"Italy","Benetton","England",52.4081812,-1.510477
"Le Pont-de-Claix, France","https://en.wikipedia.org/wiki/Ange_Capuozzo","Ange Capuozzo","Fullback","(1999-04-30)30 April 1999 (aged 24)",12,NA,"Italy","Toulouse","France",45.1236837,5.6978136
"Florence, Italy","https://en.wikipedia.org/wiki/Lorenzo_Pani","Lorenzo Pani","Fullback","(2002-07-04)4 July 2002 (aged 21)",3,NA,"Italy","Zebre Parma","Italy",43.7698712,11.2555757
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Facundo_Gattas","Facundo Gattas","Hooker","(1995-07-02)2 July 1995 (aged 28)",39,NA,"Uruguay","Old Glory DC","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Germ%C3%A1n_Kessler","Germán Kessler","Hooker","(1994-07-01)1 July 1994 (aged 29)",62,NA,"Uruguay","Provence","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Guillermo_Pujadas","Guillermo Pujadas","Hooker","(1997-02-06)6 February 1997 (aged 26)",28,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Diego_Arbelo","Diego Arbelo","Prop","(1994-08-19)19 August 1994 (aged 29)",18,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Uruguay","https://en.wikipedia.org/wiki/Mat%C3%ADas_Ben%C3%ADtez","Matías Benítez","Prop","(1988-05-16)16 May 1988 (aged 35)",45,NA,"Uruguay","Peñarol","Uruguay",-32.8755548,-56.0201525
"Uruguay","https://en.wikipedia.org/wiki/Ignacio_P%C3%A9culo","Ignacio Péculo","Prop","(1999-02-22)22 February 1999 (aged 24)",13,NA,"Uruguay","Peñarol","Uruguay",-32.8755548,-56.0201525
NA,"https://en.wikipedia.org/w/index.php?title=Reinaldo_Piussi&action=edit&redlink=1","Reinaldo Piussi","Prop","(1999-05-18)18 May 1999 (aged 24)",4,NA,"Uruguay","Peñarol",NA,NA,NA
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Mateo_Sanguinetti","Mateo Sanguinetti","Prop","(1992-07-26)26 July 1992 (aged 31)",80,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Uruguay","https://en.wikipedia.org/wiki/Felipe_Aliaga","Felipe Aliaga","Lock","(1999-09-14)14 September 1999 (aged 23)",5,NA,"Uruguay","Peñarol","Uruguay",-32.8755548,-56.0201525
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Ignacio_Dotti","Ignacio Dotti","Lock","(1994-08-18)18 August 1994 (aged 29)",59,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Manuel_Leindekar","Manuel Leindekar","Lock","(1997-04-23)23 April 1997 (aged 26)",28,NA,"Uruguay","Bayonne","Uruguay",-34.9058916,-56.1913095
NA,"https://en.wikipedia.org/w/index.php?title=Juan_Manuel_Rodr%C3%ADguez_(rugby_union)&action=edit&redlink=1","Juan Manuel Rodríguez","Lock","(1996-12-15)15 December 1996 (aged 26)",3,NA,"Uruguay","Peñarol",NA,NA,NA
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Manuel_Ardao","Manuel Ardao","Back row","(1998-09-09)9 September 1998 (aged 24)",23,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
NA,"https://en.wikipedia.org/w/index.php?title=Lucas_Bianchi&action=edit&redlink=1","Lucas Bianchi","Back row","(2001-03-26)26 March 2001 (aged 22)",10,NA,"Uruguay","Peñarol",NA,NA,NA
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Santiago_Civetta","Santiago Civetta","Back row","(1998-02-28)28 February 1998 (aged 25)",26,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Carlos_Deus","Carlos Deus","Back row","(2001-07-05)5 July 2001 (aged 22)",3,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Manuel_Diana","Manuel Diana","Back row","(1996-03-07)7 March 1996 (aged 27)",38,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
"Uruguay","https://en.wikipedia.org/wiki/Eric_Dosantos","Eric Dosantos","Back row","(1995-02-25)25 February 1995 (aged 28)",16,NA,"Uruguay","Peñarol","Uruguay",-32.8755548,-56.0201525
NA,"https://en.wikipedia.org/w/index.php?title=Santiago_%C3%81lvarez_(rugby_union,_born_2001)&action=edit&redlink=1","Santiago Álvarez","Scrum-half","(2001-12-24)24 December 2001 (aged 21)",7,NA,"Uruguay","Peñarol",NA,NA,NA
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Santiago_Arata","Santiago Arata","Scrum-half","(1996-09-02)2 September 1996 (aged 27)",45,NA,"Uruguay","Castres","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Agust%C3%ADn_Ormaechea","Agustín Ormaechea","Scrum-half","(1991-03-08)8 March 1991 (aged 32)",56,NA,"Uruguay","Nice","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Felipe_Berchesi","Felipe Berchesi","Fly-half","(1991-04-12)12 April 1991 (aged 32)",45,NA,"Uruguay","Dax","Uruguay",-34.9058916,-56.1913095
"Montevideo, Uruguay","https://en.wikipedia.org/wiki/Felipe_Etcheverry","Felipe Etcheverry","Fly-half","(1996-06-23)23 June 1996 (aged 27)",20,NA,"Uruguay","Peñarol","Uruguay",-34.9058916,-56.1913095
NA,"https://en.wikipedia.org/w/index.php?title=Juan_Manuel_Alonso_(rugby_union)&action=edit&redlink=1","Juan Manuel Alonso","Centre","(2001-09-19)19 September 2001 (aged 21)",8,NA,"Uruguay","Peñarol",NA,NA,NA
