"player","position","date_of_birth_age","caps","franchise_province","team","club_province","url","birth_info"
"Niccolò Cannone","Lock","(1998-05-17)17 May 1998 (aged 25)",33,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Niccol%C3%B2_Cannone","Florence, Italy"
"Dino Lamb","Lock","(1998-04-18)18 April 1998 (aged 25)",3,NA,"Italy","Harlequins","https://en.wikipedia.org/wiki/Dino_Lamb","Warwickshire, England"
"Federico Ruzza","Lock","(1994-08-04)4 August 1994 (aged 29)",45,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Federico_Ruzza","Padua, Italy"
"Dave Sisi","Lock","(1993-02-05)5 February 1993 (aged 30)",28,NA,"Italy","Zebre Parma","https://en.wikipedia.org/wiki/Dave_Sisi","Rinteln, Germany"
"Lorenzo Cannone","Back row","(2001-01-28)28 January 2001 (aged 22)",12,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Lorenzo_Cannone","Florence, Italy"
"Toa Halafihi","Back row","(1993-11-27)27 November 1993 (aged 29)",11,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Toa_Halafihi","Gisborne, New Zealand"
"Michele Lamaro (c)","Back row","(1998-06-03)3 June 1998 (aged 25)",29,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Michele_Lamaro","Rome, Italy"
"Sebastian Negri","Back row","(1994-06-30)30 June 1994 (aged 29)",48,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Sebastian_Negri","Marondera, Zimbabwe"
"Giovanni Pettinelli","Back row","(1996-03-13)13 March 1996 (aged 27)",14,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Giovanni_Pettinelli","Venice, Italy"
"Manuel Zuliani","Back row","(2000-04-26)26 April 2000 (aged 23)",13,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Manuel_Zuliani","Castelfranco Veneto, Italy"
"Alessandro Fusco","Scrum-half","(1999-10-28)28 October 1999 (aged 23)",15,NA,"Italy","Zebre Parma","https://en.wikipedia.org/wiki/Alessandro_Fusco","Napoli, Italy"
"Alessandro Garbisi","Scrum-half","(2002-04-11)11 April 2002 (aged 21)",6,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Alessandro_Garbisi","Venice, Italy"
"Martin Page-Relo","Scrum-half","(1999-01-06)6 January 1999 (aged 24)",2,NA,"Italy","Lyon","https://en.wikipedia.org/wiki/Martin_Page-Relo","L'Isle-Jourdain, France"
"Stephen Varney","Scrum-half","(2001-05-16)16 May 2001 (aged 22)",21,NA,"Italy","Gloucester","https://en.wikipedia.org/wiki/Stephen_Varney","Carmarthen, Wales"
"Tommaso Allan","Fly-half","(1993-04-26)26 April 1993 (aged 30)",75,NA,"Italy","Perpignan","https://en.wikipedia.org/wiki/Tommaso_Allan","Vicenza, Italy"
"Giacomo Da Re","Fly-half","(1999-03-29)29 March 1999 (aged 24)",2,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Giacomo_Da_Re","Treviso, Italy"
"Paolo Garbisi","Fly-half","(2000-04-26)26 April 2000 (aged 23)",27,NA,"Italy","Montpellier","https://en.wikipedia.org/wiki/Paolo_Garbisi","Venice, Italy"
"Ignacio Brex","Centre","(1992-05-26)26 May 1992 (aged 31)",26,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Ignacio_Brex","Buenos Aires, Argentina"
"Luca Morisi","Centre","(1991-02-22)22 February 1991 (aged 32)",47,NA,"Italy","Unattached","https://en.wikipedia.org/wiki/Luca_Morisi","Milan, Italy"
"Pierre Bruno","Wing","(1996-06-28)28 June 1996 (aged 27)",13,NA,"Italy","Zebre Parma","https://en.wikipedia.org/wiki/Pierre_Bruno","Genoa, Italy"
"Monty Ioane","Wing","(1994-10-30)30 October 1994 (aged 28)",21,NA,"Italy","Lyon","https://en.wikipedia.org/wiki/Monty_Ioane","Melbourne, Victoria, Australia"
"Paolo Odogwu","Wing","(1997-06-18)18 June 1997 (aged 26)",3,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Paolo_Odogwu","Coventry, England"
"Ange Capuozzo","Fullback","(1999-04-30)30 April 1999 (aged 24)",12,NA,"Italy","Toulouse","https://en.wikipedia.org/wiki/Ange_Capuozzo","Le Pont-de-Claix, France"
"Lorenzo Pani","Fullback","(2002-07-04)4 July 2002 (aged 21)",3,NA,"Italy","Zebre Parma","https://en.wikipedia.org/wiki/Lorenzo_Pani","Florence, Italy"
"Facundo Gattas","Hooker","(1995-07-02)2 July 1995 (aged 28)",39,NA,"Uruguay","Old Glory DC","https://en.wikipedia.org/wiki/Facundo_Gattas","Montevideo, Uruguay"
"Germán Kessler","Hooker","(1994-07-01)1 July 1994 (aged 29)",62,NA,"Uruguay","Provence","https://en.wikipedia.org/wiki/Germ%C3%A1n_Kessler","Montevideo, Uruguay"
"Guillermo Pujadas","Hooker","(1997-02-06)6 February 1997 (aged 26)",28,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Guillermo_Pujadas","Montevideo, Uruguay"
"Diego Arbelo","Prop","(1994-08-19)19 August 1994 (aged 29)",18,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Diego_Arbelo","Montevideo, Uruguay"
"Matías Benítez","Prop","(1988-05-16)16 May 1988 (aged 35)",45,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Mat%C3%ADas_Ben%C3%ADtez","Uruguay"
"Ignacio Péculo","Prop","(1999-02-22)22 February 1999 (aged 24)",13,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Ignacio_P%C3%A9culo","Uruguay"
"Reinaldo Piussi","Prop","(1999-05-18)18 May 1999 (aged 24)",4,NA,"Uruguay","Peñarol","https://en.wikipedia.org/w/index.php?title=Reinaldo_Piussi&action=edit&redlink=1",NA
"Mateo Sanguinetti","Prop","(1992-07-26)26 July 1992 (aged 31)",80,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Mateo_Sanguinetti","Montevideo, Uruguay"
"Felipe Aliaga","Lock","(1999-09-14)14 September 1999 (aged 23)",5,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Felipe_Aliaga","Uruguay"
"Ignacio Dotti","Lock","(1994-08-18)18 August 1994 (aged 29)",59,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Ignacio_Dotti","Montevideo, Uruguay"
"Manuel Leindekar","Lock","(1997-04-23)23 April 1997 (aged 26)",28,NA,"Uruguay","Bayonne","https://en.wikipedia.org/wiki/Manuel_Leindekar","Montevideo, Uruguay"
"Juan Manuel Rodríguez","Lock","(1996-12-15)15 December 1996 (aged 26)",3,NA,"Uruguay","Peñarol","https://en.wikipedia.org/w/index.php?title=Juan_Manuel_Rodr%C3%ADguez_(rugby_union)&action=edit&redlink=1",NA
"Manuel Ardao","Back row","(1998-09-09)9 September 1998 (aged 24)",23,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Manuel_Ardao","Montevideo, Uruguay"
"Lucas Bianchi","Back row","(2001-03-26)26 March 2001 (aged 22)",10,NA,"Uruguay","Peñarol","https://en.wikipedia.org/w/index.php?title=Lucas_Bianchi&action=edit&redlink=1",NA
"Santiago Civetta","Back row","(1998-02-28)28 February 1998 (aged 25)",26,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Santiago_Civetta","Montevideo, Uruguay"
"Carlos Deus","Back row","(2001-07-05)5 July 2001 (aged 22)",3,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Carlos_Deus",NA
"Manuel Diana","Back row","(1996-03-07)7 March 1996 (aged 27)",38,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Manuel_Diana","Montevideo, Uruguay"
"Eric Dosantos","Back row","(1995-02-25)25 February 1995 (aged 28)",16,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Eric_Dosantos","Uruguay"
"Santiago Álvarez","Scrum-half","(2001-12-24)24 December 2001 (aged 21)",7,NA,"Uruguay","Peñarol","https://en.wikipedia.org/w/index.php?title=Santiago_%C3%81lvarez_(rugby_union,_born_2001)&action=edit&redlink=1",NA
"Santiago Arata","Scrum-half","(1996-09-02)2 September 1996 (aged 27)",45,NA,"Uruguay","Castres","https://en.wikipedia.org/wiki/Santiago_Arata","Montevideo, Uruguay"
"Agustín Ormaechea","Scrum-half","(1991-03-08)8 March 1991 (aged 32)",56,NA,"Uruguay","Nice","https://en.wikipedia.org/wiki/Agust%C3%ADn_Ormaechea",NA
"Felipe Berchesi","Fly-half","(1991-04-12)12 April 1991 (aged 32)",45,NA,"Uruguay","Dax","https://en.wikipedia.org/wiki/Felipe_Berchesi","Montevideo, Uruguay"
"Felipe Etcheverry","Fly-half","(1996-06-23)23 June 1996 (aged 27)",20,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Felipe_Etcheverry","Montevideo, Uruguay"
"Juan Manuel Alonso","Centre","(2001-09-19)19 September 2001 (aged 21)",8,NA,"Uruguay","Peñarol","https://en.wikipedia.org/w/index.php?title=Juan_Manuel_Alonso_(rugby_union)&action=edit&redlink=1",NA
"Felipe Arcos Pérez","Centre","(2001-05-17)17 May 2001 (aged 22)",9,NA,"Uruguay","Old Boys","https://en.wikipedia.org/wiki/Felipe_Arcos_P%C3%A9rez","Uruguay"
"Tomás Inciarte","Centre","(1996-10-22)22 October 1996 (aged 26)",32,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Tom%C3%A1s_Inciarte","Montevideo, Uruguay"
"Andrés Vilaseca (c)","Centre","(1991-05-08)8 May 1991 (aged 32)",75,NA,"Uruguay","Vannes","https://en.wikipedia.org/wiki/Andr%C3%A9s_Vilaseca",NA
"Baltazar Amaya","Wing","(1999-05-26)26 May 1999 (aged 24)",8,NA,"Uruguay","Old Boys","https://en.wikipedia.org/wiki/Baltazar_Amaya","Argentina"
"Bautista Basso","Wing","(2001-01-18)18 January 2001 (aged 22)",4,NA,"Uruguay","Old Boys","https://en.wikipedia.org/wiki/Bautista_Basso",NA
"Ignacio Facciolo","Wing","(1998-12-28)28 December 1998 (aged 24)",1,NA,"Uruguay","CTM Rugby","https://en.wikipedia.org/w/index.php?title=Ignacio_Facciolo&action=edit&redlink=1",NA
"Nicolás Freitas","Wing","(1993-07-03)3 July 1993 (aged 30)",50,NA,"Uruguay","Vannes","https://en.wikipedia.org/wiki/Nicol%C3%A1s_Freitas_(rugby_union)",NA
"Gastón Mieres","Fullback","(1989-10-05)5 October 1989 (aged 33)",82,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Gast%C3%B3n_Mieres","Punta del Este, Uruguay"
"Rodrigo Silva","Fullback","(1992-11-02)2 November 1992 (aged 30)",77,NA,"Uruguay","Peñarol","https://en.wikipedia.org/wiki/Rodrigo_Silva_(rugby_union)","Montevideo, Uruguay"
"Obert Nortjé","Hooker","(1997-04-17)17 April 1997 (aged 26)",21,NA,"Namibia","Wanderers","https://en.wikipedia.org/wiki/Obert_Nortj%C3%A9","Windhoek, Namibia"
"Torsten van Jaarsveld","Hooker","(1987-06-30)30 June 1987 (aged 36)",19,NA,"Namibia","Bayonne","https://en.wikipedia.org/wiki/Torsten_van_Jaarsveld","Windhoek, Namibia"
"Louis van der Westhuizen","Hooker","(1995-02-25)25 February 1995 (aged 28)",29,NA,"Namibia","Cheetahs","https://en.wikipedia.org/wiki/Louis_van_der_Westhuizen_(rugby_union)","Windhoek, Namibia"
"Jason Benade","Prop","(1995-04-16)16 April 1995 (aged 28)",13,NA,"Namibia","University of Namibia","https://en.wikipedia.org/w/index.php?title=Jason_Benade&action=edit&redlink=1",NA
"Aranos Coetzee","Prop","(1988-03-14)14 March 1988 (aged 35)",29,NA,"Namibia","Cheetahs","https://en.wikipedia.org/wiki/Aranos_Coetzee","Windhoek, South West Africa"
"Des Sethie","Prop","(1992-12-09)9 December 1992 (aged 30)",17,NA,"Namibia","University of Namibia","https://en.wikipedia.org/wiki/Des_Sethie","Walvis Bay, Namibia"
"Haitembu Shikufa","Prop","(2000-11-28)28 November 2000 (aged 22)",1,NA,"Namibia","Leopards","https://en.wikipedia.org/w/index.php?title=Haitembu_Shikufa&action=edit&redlink=1",NA
"Casper Viviers","Prop","(1988-06-01)1 June 1988 (aged 35)",41,NA,"Namibia","La Baule","https://en.wikipedia.org/wiki/Casper_Viviers","Windhoek, South West Africa"
"Tiaan de Klerk","Lock","(2001-06-12)12 June 2001 (aged 22)",1,NA,"Namibia","Mogliano","https://en.wikipedia.org/wiki/Tiaan_de_Klerk","Namibia"
"Adriaan Ludick","Lock","(1998-07-22)22 July 1998 (aged 25)",9,NA,"Namibia","Limoges","https://en.wikipedia.org/wiki/Adriaan_Ludick",NA
"Mahepisa Tjeriko","Lock","(1993-05-06)6 May 1993 (aged 30)",11,NA,"Namibia","University of Namibia","https://en.wikipedia.org/wiki/Mahepisa_Tjeriko","Windhoek, Namibia"
"Tjiuee Uanivi","Lock","(1990-12-31)31 December 1990 (aged 32)",34,NA,"Namibia","Montauban","https://en.wikipedia.org/wiki/Tjiuee_Uanivi","Otjiwarongo, Namibia"
